"","country","y","EnergyUse","GDP","pop","co2percap","Lowcarbon_energy","internet","urb"
"6","Algeria",2005,11373.6073800925,10504.8584676293,33149720,3.2119,0.408,1945357,63.83
"13","Argentina",2005,20011.4388859012,19426.4401434847,38892924,4.1507,15.966,6936809,90.031
"19","Australia",2005,64710.3337787083,42217.136349705,20178543,19.2086,4.01,12750509,84.582
"21","Austria",2005,47515.1517806215,49316.2647023136,8253656,9.5797,26.583,4787117,58.813
"22","Azerbaijan",2005,18607.5426634175,7222.03607503781,8538610,4.0155,4.872,685682,52.389
"25","Bangladesh",2005,1906.65401208131,2279.53127370224,139035505,0.271,1.067,346583,26.809
"28","Belgium",2005,64611.8115682632,46341.2896407062,10546885,11.9126,17.767,5887272,97.403
"37","Brazil",2005,13454.8346499856,12565.9413936417,186127108,1.9576,42.735,39295164,82.834
"40","Bulgaria",2005,30213.5324192333,14356.019677453,7686964,6.5899,26.135,1534447,70.584
"45","Canada",2005,97948.2590075665,42046.8695832654,32164313,17.9035,33.538,23137566,80.122
"57","Chile",2005,20384.2322520334,18634.626435638,16182713,3.7649,21.221,5033903,86.783
"58","China",2005,16208.6300987865,5334.6466393818,1330776380,4.4159,5.899,112645367,42.522
"60","Colombia",2005,7385.70497290935,10049.1261807666,42647731,1.4083,33.614,4764564,76.024
"66","Croatia",2005,26301.0563426521,23538.7544252511,4378066,5.3324,17.575,1450888,54.315
"69","Cyprus",2005,25116.2039376951,37803.5755253568,1027656,7.7409,0.007,337175,68.268
"70","Czechia",2005,51182.212452464,30384.4466487841,10258165,12.2516,14.447,3618059,73.602
"73","Denmark",2005,40561.1591620672,51483.273786293,5421701,9.5001,11.447,4485916,85.856
"84","Ecuador",2005,7854.52291394395,9503.69468951352,13825839,2.1676,15.73,823325,61.711
"85","Egypt",2005,9466.81093543558,8397.03244402289,75523576,2.1853,5.064,9789214,43.027
"89","Estonia",2005,44733.5499326457,26093.1591109829,1355650,12.6553,0.47,833046,68.735
"105","Finland",2005,76316.3194821444,44786.9096643071,5258933,10.8477,36.018,3916849,82.905
"108","France",2005,49859.6367694853,41643.9888864457,61120128,6.7984,44.062,26250973,77.13
"114","Germany",2005,47526.0346267493,43884.5352789987,81602739,10.6209,15.925,56116305,75.98
"117","Greece",2005,32017.9854639633,34732.6440722251,11224800,10.1499,4.325,2712289,74.452
"132","Hungary",2005,31761.9917438819,24355.7819172586,10085942,5.9764,13.755,3930695,66.365
"134","Iceland",2005,122404.325321668,48104.6518132004,294976,10.0902,67.457,256632,93.037
"139","India",2005,5230.77691721843,3245.29988504732,1147609924,1.0334,7.531,27322412,29.235
"140","Indonesia",2005,9238.98838871281,6699.27209089739,226289468,1.5422,3.333,8166249,45.942
"141","Iran",2005,28785.2711125178,11998.2148575374,69762345,6.644,2.015,5704167,67.558
"142","Iraq",2005,11417.4749897659,7542.22233395798,26922279,4.1885,4.364,243076,68.766
"143","Ireland",2005,40747.3665056537,57691.5616452959,4141218,11.6284,2.694,1753020,60.477
"145","Israel",2005,30952.6540266374,31239.0068599514,6529470,8.6568,0.041,1663555,91.518
"146","Italy",2005,37386.6600227113,44260.8274173515,58281209,8.6179,6.035,20582969,67.738
"148","Japan",2005,47252.4463373326,37489.8533695016,128326115,10.0554,17.111,85883663,85.978
"150","Kazakhstan",2005,39064.8341526249,16536.0154072377,15402803,13.1015,4.147,460292,56.463
"162","Latvia",2005,23522.4231608108,20175.8162019511,2251996,3.4683,19.814,1035912,68
"173","Lithuania",2005,30968.3725464466,21053.1846048184,3344259,4.2214,31.296,1211288,66.635
"178","Luxembourg",2005,109657.07525185,104025.415860951,457848,26.3996,1.071,320489,86.598
"182","Malaysia",2005,29755.29955511,18114.1441085608,25690615,7.0583,2.186,12477950,66.594
"192","Mexico",2005,19597.7099461886,17788.5891204455,106005199,4.3771,6.738,18668070,76.308
"208","Morocco",2005,5668.50537781882,5227.56263149928,30455563,1.4664,1.958,4603934,55.174
"214","Netherlands",2005,58027.5120203178,49467.4354267059,16367153,10.8096,2.78,13257398,82.63
"217","New Zealand",2005,47626.5140811341,37293.2137650567,4135353,9.0811,33.177,2593703,86.341
"226","North Macedonia",2005,15809.5079649368,11086.1567452985,2060280,5.4259,12.43,544942,57.532
"231","Norway",2005,67485.5904549378,61870.3837851071,4632359,9.365,68.394,3798075,77.675
"238","Pakistan",2005,5550.89289315145,3706.82402332879,160304007,0.8406,13.959,9746067,33.982
"244","Peru",2005,5694.65769173627,7519.02906932011,27866140,1.3254,30.459,4721380,75.034
"245","Philippines",2005,5234.4157086122,5054.23893301697,86326251,0.8488,15.773,4656770,45.71
"246","Poland",2005,28076.7016124141,18937.4751533604,38368957,8.4283,1.027,14888551,61.452
"248","Portugal",2005,29296.0272789677,31076.6441205289,10508494,6.634,7.504,3696946,57.522
"254","Romania",2005,21054.1060719237,16770.6544964025,21417287,4.6812,15.251,4607669,53.174
"255","Russia",2005,52810.7618516831,20042.8135032629,143672125,10.7717,11.62,21868272,73.463
"272","Singapore",2005,58800.8882985033,67125.564640796,4265693,8.5491,0.234,2739536,100
"274","Slovakia",2005,40757.0511522189,20072.3500036399,5398962,7.9261,26.839,2979688,55.563
"275","Slovenia",2005,42401.0893868153,31133.7151910898,1994979,8.4737,30.209,934459,51.533
"279","South Africa",2005,31151.5856287918,11434.9152380948,47880595,8.6867,2.709,3655950,59.536
"283","South Korea",2005,50755.8680264826,28640.7062360909,48701069,10.2578,15.698,35800745,81.345
"290","Spain",2005,37813.7486532188,37963.3658355296,44019118,8.3982,15.254,21087612,77.263
"291","Sri Lanka",2005,5355.72331228855,6944.22676755822,19544988,0.6107,16.257,349889,18.303
"298","Sweden",2005,66420.4102974094,45440.2967492535,9038627,5.9616,62.939,7667464,84.319
"299","Switzerland",2005,40567.9793885129,61613.3910520748,7386818,6.1986,44.996,5194626,73.478
"304","Thailand",2005,17601.6565327582,12304.4020760731,65416189,3.4088,2.064,9830834,37.411
"309","Trinidad and Tobago",2005,144567.603434486,24424.857914511,1296497,29.2666,0.036,375809,54.967
"311","Turkey",2005,14423.1237951185,18251.6691007312,67903461,3.8908,10.801,10497867,67.84
"312","Turkmenistan",2005,46903.2212599366,5629.0698391954,4754652,10.1443,0.005,47416,47.052
"316","Ukraine",2005,35275.9104167141,10957.5582756783,46890775,6.6776,17.025,1758346,67.79
"318","United Kingdom",2005,42872.3656928307,42629.9482187521,60287953,9.454,9.821,42200728,79.915
"319","United States",2005,91254.7913772519,54353.0685764315,294993509,20.7954,12.211,200593775,79.928
"325","Uzbekistan",2005,20927.0589784844,3405.21630793091,26427785,4.4111,3.301,886437,48.537
"329","Vietnam",2005,5722.80254073288,3931.76536810297,83832662,1.1296,12.307,10740887,27.281
"335","World",2005,20550.8683757382,12461.0411344146,6542205330,4.5249,13.016,1029023007,49.1566419393057
"61","Algeria",2006,12001.2182111553,10527.4220783457,33641007,2.9786,0.153,2491454,64.593
"133","Argentina",2006,21550.8756767265,20777.6527103251,39289876,4.4441,16.871,8278569,90.2
"191","Australia",2006,66399.6784867064,42761.4056075413,20526300,19.3554,3.918,13578580,84.7
"211","Austria",2006,47436.5861838723,50767.8484448075,8285344,9.269,27.174,5269091,58.532
"221","Azerbaijan",2006,18137.7845106694,9605.09610840819,8630153,4.5316,4.117,1034948,52.589
"251","Bangladesh",2006,2015.51118705713,2399.08222733303,140921154,0.2958,0.984,1453680,27.517
"27","Belarus",2006,34487.3457509919,13214.87158024,9516884,6.718,0.033,1551157,72.816
"281","Belgium",2006,63621.8199143379,47211.6639573888,10619484,11.6657,17.576,6342005,97.454
"371","Brazil",2006,13771.6077580684,12922.1554849938,188167353,1.9603,43.001,53260636,83.143
"401","Bulgaria",2006,31301.6848918474,15449.4350933122,7631020,6.8004,26.319,2065601,70.932
"451","Canada",2006,95830.5762945481,43358.1823908414,32536994,17.5618,33.349,23635330,80.213
"571","Chile",2006,20994.7177545615,19603.6978289233,16354507,3.9102,21.394,5629961,86.842
"581","China",2006,17621.4698721988,5979.78171182527,1338408644,4.8481,5.875,139874702,43.868
"601","Colombia",2006,7663.22245501314,10586.7948808009,43200901,1.4353,32.736,6725134,76.423
"661","Croatia",2006,26148.6602836964,24708.2992912917,4370782,5.389,16.636,1659991,54.483
"691","Cyprus",2006,25678.1872066019,38930.6130534338,1045508,7.8264,0.012,374606,68.125
"701","Czechia",2006,52236.3326361559,32352.8129664551,10298609,12.2826,14.992,4935969,73.533
"731","Denmark",2006,43358.6291802213,53322.2889991783,5444293,10.9158,9.678,4717489,86.098
"841","Ecuador",2006,7758.42037333228,9757.37510261875,14059379,2.0552,15.394,1005659,61.907
"851","Egypt",2006,9827.20504419784,8814.14605018027,76873670,2.2897,4.906,10676526,43.073
"891","Estonia",2006,43903.6580141222,28798.4026229086,1349373,12.2296,0.559,856939,68.607
"1051","Finland",2006,82710.8948348242,46412.2003478176,5277490,12.9587,32.434,4204112,83.037
"1081","France",2006,48716.2471047466,42367.5698646841,61508924,6.5968,44.606,28868585,77.377
"1141","Germany",2006,48900.1340386708,45610.7818923168,81472235,10.7806,16.636,58839519,76.179
"1171","Greece",2006,31896.7864440388,36585.8395603871,11185231,10.0554,5.007,3656753,74.827
"131","Hong Kong",2006,22479.7396348311,46463.5837078363,6802083,6.1621,0.001,4171109,100
"1321","Hungary",2006,31555.1798891313,25377.0522205332,10055657,5.9311,13.205,4732305,66.895
"1341","Iceland",2006,148096.497027474,49956.8486452996,299727,10.5193,69.839,268287,93.159
"1391","India",2006,5421.18797636719,3453.10566102778,1165486291,1.0809,8.226,32599283,29.569
"1401","Indonesia",2006,9331.38316729437,6974.4456536936,229318262,1.5119,3.063,10951361,46.738
"1411","Iran",2006,29746.7935190648,12456.6098815859,70554756,7.1382,2.353,6239562,68.239
"1421","Iraq",2006,10566.7301043962,7815.42800475568,27448124,3.5691,4.33,263779,68.819
"1431","Ireland",2006,39822.9907096866,58960.2155924038,4230619,11.2522,3.464,2359107,60.738
"1451","Israel",2006,33522.3006563931,32408.3917854463,6680641,9.3028,0.026,1883425,91.58
"1461","Italy",2006,36934.5524982045,44918.1703531499,58542619,8.4877,6.308,22444442,67.856
"1481","Japan",2006,47146.6643764763,37998.1233384906,128422740,9.8687,18.038,88214549,87.118
"1501","Kazakhstan",2006,46668.6873720651,18112.7787011954,15551263,14.2194,3.784,512835,56.536
"1621","Latvia",2006,24582.455822034,22802.3663218124,2225063,3.7347,16.909,1193387,67.967
"1731","Lithuania",2006,31005.7350923222,22977.9966473047,3303329,4.3696,27.309,1450312,66.706
"1781","Luxembourg",2006,106653.293732822,107681.016707959,465611,25.6002,1.273,337573,87.009
"1821","Malaysia",2006,29334.7162612376,18752.5457933406,26201954,6.8234,2.2,13500012,67.483
"1921","Mexico",2006,19754.5473472961,18319.4775627403,107560155,4.4307,6.792,21490032,76.616
"2081","Morocco",2006,5699.13243045564,5558.04905573476,30804689,1.5014,1.898,6103238,55.746
"2141","Netherlands",2006,57279.0574064115,51097.3626113331,16440091,10.4682,2.882,13760466,83.636
"2171","New Zealand",2006,47070.308610142,37902.7517600146,4185881,8.9691,33.299,2888283,86.4
"2261","North Macedonia",2006,16530.0768879549,11639.5430449541,2063132,5.2515,13.444,590472,57.383
"2311","Norway",2006,67846.7908589245,62846.9582138128,4672986,9.4098,65.324,3857619,77.95
"2381","Pakistan",2006,5651.50007664187,3836.49274978763,164022626,0.8763,12.965,10211110,34.184
"2441","Peru",2006,5482.90977012179,8017.25502158318,28102055,1.0117,32.69,5785638,75.421
"2451","Philippines",2006,5103.7504677366,5228.3157413263,87888675,0.7569,18.061,5040775,45.625
"2461","Poland",2006,29505.0546671666,20111.2996235069,38354447,8.794,1.122,17092434,61.341
"2481","Portugal",2006,27799.475258613,31524.7495680309,10542837,6.1584,14.623,4029041,58.137
"2541","Romania",2006,21917.2597552299,18224.7835861993,21234312,4.8597,13.818,5238751,53.305
"2551","Russia",2006,54525.9876012129,21757.4651663444,143403258,11.203,11.332,25831490,73.508
"2721","Singapore",2006,61224.9563942095,70915.9915104292,4402324,9.7777,0.21,2721022,100
"2741","Slovakia",2006,40347.8589085462,21776.1292378063,5398674,7.8829,28.162,3027502,55.412
"2751","Slovenia",2006,42437.6710426396,32817.8881074677,2002427,8.5649,29.062,1082248,51.758
"2791","South Africa",2006,30537.9934218287,11924.0734129115,48489464,9.2107,2.696,3755233,60.077
"2831","South Korea",2006,51317.6903824355,29990.5220008606,48880449,10.3212,15.558,38187655,81.528
"2901","Spain",2006,37147.1648934478,38858.4710684887,44728561,8.0643,16.828,22528250,77.502
"2911","Sri Lanka",2006,5363.01932673865,7419.41386800341,19695977,0.5987,19.934,499143,18.288
"2981","Sweden",2006,64303.1765964558,47292.3136933265,9096170,5.9039,59.719,7982881,84.43
"2991","Switzerland",2006,42090.7335580458,63686.2482388777,7457961,6.0839,46.299,5663425,73.504
"3041","Thailand",2006,17840.3656851718,12837.8779168538,65812539,3.439,2.734,11295897,38.673
"3091","Trinidad and Tobago",2006,160553.414650624,27522.3703712998,1302552,32.5625,0.036,390992,54.779
"3111","Turkey",2006,15756.4057261586,19277.5306892695,68756809,4.0963,10.837,12542445,68.45
"3121","Turkmenistan",2006,47482.9049103618,6174.73802830858,4810114,10.2644,0.005,63473,47.308
"3161","Ukraine",2006,34137.4233542489,11852.6523644491,46607397,7.1377,17.05,2100593,67.969
"3181","United Kingdom",2006,41854.1650240719,43457.7017735188,60821349,9.3318,9.428,41844488,80.199
"3191","United States",2006,89523.6989820548,55368.3597189657,297758977,20.324,12.72,205295950,80.099
"3251","Uzbekistan",2006,21119.4960467377,3614.57737070251,26804067,4.4532,2.997,1717837,49.021
"3291","Vietnam",2006,5809.83513785468,4167.10764825133,84617545,1.1655,15.956,14682703,27.888
"3351","World",2006,20894.9039417479,12941.1872855241,6623819401,4.6172,13.018,1158678340,49.6606544897281
"62","Algeria",2007,12539.2741839371,10717.7844636359,34166976,3.1727,0.15,3241766,65.348
"135","Argentina",2007,21613.0971369209,22424.1177287545,39684303,4.3908,14.09,10370927,90.366
"193","Australia",2007,68248.8767395187,44128.727085347,20916339,19.2159,3.689,14547458,84.822
"212","Austria",2007,46747.833676311,52489.7572106205,8313731,8.9126,29.45,5765884,58.249
"222","Azerbaijan",2007,16416.4118618391,11914.994832597,8724237,3.4913,4.246,1268514,52.79
"252","Bangladesh",2007,2080.037553734,2537.11119756525,142660381,0.2989,0.959,2648505,28.237
"271","Belarus",2007,33935.2587927166,14417.3535308989,9480514,6.6772,0.045,1878762,73.273
"282","Belgium",2007,62068.8821536464,48589.4600517703,10697576,11.2623,18.094,6893685,97.505
"372","Brazil",2007,14402.727238239,13564.9941989629,190130445,2.0542,44.1,58989026,83.448
"402","Bulgaria",2007,31006.8761081346,16583.9587844953,7576675,7.3568,19.943,2545522,71.278
"452","Canada",2007,95521.7203799748,45888.4763265252,32930795,18.058,32.879,24170590,80.396
"572","Chile",2007,21544.628222609,20346.7408564348,16530201,4.276,17.573,5920516,86.9
"582","China",2007,18958.889062384,6795.17401237991,1345993891,5.1847,6.026,213888081,45.199
"602","Colombia",2007,7522.25534570874,11161.5133168718,43737512,1.3759,33.758,9673657,76.816
"662","Croatia",2007,27196.1466696456,25966.0969395053,4362427,5.7001,11.702,1807723,54.651
"692","Cyprus",2007,26658.6962493466,40053.4137891646,1063708,7.9925,0.027,433675,67.982
"702","Czechia",2007,51974.0088891669,33956.2459846788,10357535,12.3878,15.07,5378175,73.463
"732","Denmark",2007,42130.8011626242,53569.0280238008,5469920,9.9921,11.369,4651104,86.293
"842","Ecuador",2007,8631.66041550992,9805.65121285274,14296554,2.3562,18.55,1534189,62.104
"852","Egypt",2007,10343.5994913036,9274.97705396552,78232124,2.3764,5.107,12749822,43.078
"892","Estonia",2007,49353.6262344482,31121.1197640419,1344295,14.8939,0.569,889641,68.479
"1052","Finland",2007,81118.0493351889,48664.265707071,5297741,12.6026,34.084,4279736,83.168
"1082","France",2007,47863.5817974714,43127.2128556843,61869229,6.3913,44.792,40949992,77.621
"1142","Germany",2007,46354.9930349426,47031.2137894261,81277836,10.4779,16.693,61138494,76.378
"1172","Greece",2007,31805.2103562184,37687.4333370451,11120371,10.3047,2.916,4083466,75.199
"1311","Hong Kong",2007,23941.48911123,49043.9481656221,6840017,6.3702,0.001,4470161,100
"1322","Hungary",2007,30912.9630192785,25477.9492943916,10024158,5.8413,14.74,5342732,67.421
"1342","Iceland",2007,171496.344466341,52827.0101225049,305181,11.4558,73.328,276511,93.278
"1392","India",2007,5641.7086812264,3661.95550498043,1183209471,1.1479,8.285,46597409,29.906
"1402","Indonesia",2007,9165.28490346126,7319.43438577559,232374239,1.6708,3.195,13481392,47.535
"1412","Iran",2007,31128.852838203,13324.9078353028,71336476,7.1865,2.136,6821345,68.864
"1422","Iraq",2007,10573.7108979242,7830.67068154782,27911242,2.1916,3.715,264031,68.873
"1432","Ireland",2007,39728.4398975935,60326.6541545205,4324649,11.0214,3.771,2689788,60.94
"1452","Israel",2007,33705.523673765,33666.1433274048,6847148,9.1717,0.024,3331754,91.641
"1462","Italy",2007,36629.5753167742,45356.5367193485,58747862,8.351,6.018,24193981,67.974
"1482","Japan",2007,46667.1688680557,38582.3221861155,128494050,10.1416,16.468,95479401,88.146
"1502","Kazakhstan",2007,49636.7592910241,19500.4789415616,15702112,14.4917,3.572,636822,56.609
"1622","Latvia",2007,25351.2355538386,25294.3887250425,2198089,3.9294,16.534,1300863,67.9
